originalID_label,originalID,gene_label,geneSymbol,funcType,Size,Z.Pos.Vs.Neg_DA,AveExpr.Pos.Vs.Neg_DA,Ave.Negative.Pos.Vs.Neg_DA,Ave.Positive.Pos.Vs.Neg_DA,logFC.Pos.Vs.Neg_DA,adj.P.Val.Pos.Vs.Neg_DA,Z.Pos.Vs.Neg_DE,AveExpr.Pos.Vs.Neg_DE,Ave.Negative.Pos.Vs.Neg_DE,Ave.Positive.Pos.Vs.Neg_DE,logFC.Pos.Vs.Neg_DE,adj.P.Val.Pos.Vs.Neg_DE,ensembl_gene_id,external_gene_name,gene_biotype,chromosome_name,strand,start_position,end_position,band,description,phenotype_description,hgnc_symbol,entrezgene,refseq_mrna
GLI2_TF,GLI2,GLI2_TF,GLI2,TF,231,12.739456985175,-0.00426204883562653,-0.0148928378672611,0.03066768655403,0.0455605244212912,2.95666802011523e-33,9.98168217723865,0.644080576194708,0.297493572545011,1.78286644532943,1.48537287278442,5.98107276953505e-20,ENSG00000074047,GLI2,protein_coding,2,1,120735623,120992653,q14.2,GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318],Alobar holoprosencephaly;Combined pituitary hormone deficiencies genetic forms;CULLER-JONES SYNDROME;GLI2-Related Holoprosencephaly;HOLOPROSENCEPHALY 9;Lobar holoprosencephaly;Microform holoprosencephaly;Midline interhemispheric variant of holoprosencephaly;Post-axial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome;Semilobar holoprosencephaly;Septopreoptic holoprosencephaly,GLI2,2736,NM_005270
CFH_SIG,CFH,CFH_SIG,CFH,SIG,76,12.598233355514,0.0121008347944544,-0.00667782545610763,0.0738021470463013,0.0804799725024089,8.94476762830528e-33,10.2614412815272,2.52817281104117,2.04215936687038,4.12507412760234,2.08291476073196,4.80151621862306e-21,ENSG00000000971,CFH,protein_coding,1,1,196651878,196747504,q31.3,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883],Atypical hemolytic uremic syndrome with H factor anomaly;BASAL LAMINAR DRUSEN;COMPLEMENT FACTOR H DEFICIENCY;De novo thrombotic microangiopathy after kidney transplantation;Dense deposit disease;Familial drusen;HELLP syndrome;HEMOLYTIC UREMIC SYNDROME ATYPICAL SUSCEPTIBILITY TO 1;Immunodeficiency with factor H anomaly;Immunoglobulin-mediated membranoproliferative glomerulonephritis;MACULAR DEGENERATION AGE-RELATED 4,CFH,3075,NM_000186;NM_001014975
ENPP2_SIG,ENPP2,ENPP2_SIG,ENPP2,SIG,15,12.2301789878455,0.0334009994560692,0.0155899083875026,0.0919231558242166,0.076333247436714,5.92282341042387e-31,7.48889253472254,2.61954798458174,2.33263518561355,3.56226146690579,1.22962628129223,2.05999173790681e-11,ENSG00000136960,ENPP2,protein_coding,8,-1,119557086,119673453,q24.12,ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357],NA,ENPP2,5168,NM_001040092;NM_001130863;NM_001330600;NM_006209
CYSLTR2_SIG,CYSLTR2,CYSLTR2_SIG,CYSLTR2,SIG,51,12.0713898127362,0.0501287498929636,0.0236930966493909,0.13698875340756,0.113295656758169,3.09830817226097e-30,9.91669219720242,2.72148094763742,2.3860694473948,3.82354730557745,1.43747785818265,1.00550245937889e-19,ENSG00000152207,CYSLTR2,protein_coding,13,1,48653711,48711226,q14.2,cysteinyl leukotriene receptor 2 [Source:HGNC Symbol;Acc:HGNC:18274],Uveal melanoma,CYSLTR2,57105,NM_001308465;NM_001308467;NM_001308468;NM_001308469;NM_001308470;NM_001308471;NM_001308476;NM_020377
CLEC3B_SIG,CLEC3B,CLEC3B_SIG,CLEC3B,SIG,35,11.8614524407761,-0.0950433346439559,-0.112801373751995,-0.0366954918604,0.0761058818915948,3.11003495432869e-29,7.72988645234232,0.383905468539356,0.243097511673535,0.846560183955628,0.603462672282093,3.84098902924501e-12,ENSG00000163815,CLEC3B,protein_coding,3,1,45001548,45036071,p21.31,C-type lectin domain family 3 member B [Source:HGNC Symbol;Acc:HGNC:11891],NA,CLEC3B,7123,NM_001308394;NM_003278
SOCS2_SIG,SOCS2,SOCS2_SIG,SOCS2,SIG,59,11.81085787801,-0.0122455200680235,-0.0331596004392949,0.0564721725804396,0.0896317730197345,4.73685367328412e-29,8.65577729214332,4.68886492960418,4.22049018310859,6.22781052523255,2.00732034212396,4.47206680872686e-15,ENSG00000120833,SOCS2,protein_coding,12,1,93569814,93583487,q22,suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382],NA,SOCS2,8835,NM_001270467;NM_001270468;NM_001270469;NM_001270470;NM_001270471;NM_003877
PTBP3_SIG,PTBP3,PTBP3_SIG,PTBP3,SIG,38,11.5583139848241,0.0601142975454657,0.0459860507586718,0.106535679844932,0.06054962908626,7.9312985471666e-28,7.58190229697925,8.38596730701272,8.30202973788735,8.66176217699606,0.359732439108711,1.08007807918783e-11,ENSG00000119314,PTBP3,protein_coding,9,-1,112217716,112333667,q32,polypyrimidine tract binding protein 3 [Source:HGNC Symbol;Acc:HGNC:10253],NA,PTBP3,9991,NM_001163788;NM_001163790;NM_001244896;NM_001244897;NM_001244898;NM_005156
GGT5_SIG,GGT5,GGT5_SIG,GGT5,SIG,37,11.0933761488196,0.000600325245433667,-0.02149646429613,0.0732040623105715,0.0947005266067017,1.39903663434892e-25,8.38828010028229,2.94948210923126,2.55494762035561,4.24580971553694,1.69086209518132,3.12933982437082e-14,ENSG00000099998,GGT5,protein_coding,22,-1,24219654,24245142,q11.23,gamma-glutamyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4260],NA,GGT5,2687,NM_001099781;NM_001099782;NM_001302464;NM_001302465;NM_004121
TRIM15_SIG,TRIM15,TRIM15_SIG,TRIM15,SIG,43,11.0161695959881,-0.0443887447017425,-0.0679700633839279,0.033092730968295,0.101062794352223,2.93990096556754e-25,8.42465697811648,0.419520656624098,0.251032154133811,0.97312573623504,0.722093582101229,2.43018344632109e-14,ENSG00000204610,TRIM15,protein_coding,6,1,30163206,30172693,p22.1,tripartite motif containing 15 [Source:HGNC Symbol;Acc:HGNC:16284],NA,TRIM15,89870,NM_033229
MAGED1_SIG,MAGED1,MAGED1_SIG,MAGED1,SIG,38,10.9145410291722,0.0933951892739386,0.0640382148290016,0.189853819593017,0.125815604764016,8.13787279722728e-25,8.61797244889091,5.74926394965214,5.5045382276819,6.55336275041151,1.04882452272962,5.98593546464487e-15,ENSG00000179222,MAGED1,protein_coding,X,1,51803007,51902357,p11.22,MAGE family member D1 [Source:HGNC Symbol;Acc:HGNC:6813],NA,MAGED1,9500,NM_001005332;NM_001005333;NM_006986
